REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2023/06/01 00:05:00,4475.86,0.02,TRADE
VIC1,2023/06/01 00:10:00,4423.25,-29.26,TRADE
VIC1,2023/06/01 00:15:00,4433.47,-30.61,TRADE
VIC1,2023/06/01 00:20:00,4326.08,-46.74,TRADE
VIC1,2023/06/01 00:25:00,4257.42,-47.45,TRADE
VIC1,2023/06/01 00:30:00,4324.49,-46.74,TRADE
VIC1,2023/06/01 00:35:00,4285.48,-30.61,TRADE
VIC1,2023/06/01 00:40:00,4187.91,-46.74,TRADE
VIC1,2023/06/01 00:45:00,4222.11,-34,TRADE
VIC1,2023/06/01 00:50:00,4226.03,-28.20,TRADE
VIC1,2023/06/01 00:55:00,4196.65,-42.40,TRADE
VIC1,2023/06/01 01:00:00,4080.33,-47.22,TRADE
VIC1,2023/06/01 01:05:00,4060.9,-56.79,TRADE
VIC1,2023/06/01 01:10:00,4049.6,-46.74,TRADE
VIC1,2023/06/01 01:15:00,4050.25,-46.74,TRADE
VIC1,2023/06/01 01:20:00,4049.87,-46.74,TRADE
VIC1,2023/06/01 01:25:00,3968.31,-47.23,TRADE
VIC1,2023/06/01 01:30:00,3989.2,-47.34,TRADE
VIC1,2023/06/01 01:35:00,3995.78,-46.74,TRADE
VIC1,2023/06/01 01:40:00,3968.66,-47.49,TRADE
VIC1,2023/06/01 01:45:00,3948.99,-46.74,TRADE
VIC1,2023/06/01 01:50:00,3856.8,-47.49,TRADE
VIC1,2023/06/01 01:55:00,3837.98,-47.49,TRADE
VIC1,2023/06/01 02:00:00,3916.74,-46.74,TRADE
VIC1,2023/06/01 02:05:00,3884.23,-46.74,TRADE
VIC1,2023/06/01 02:10:00,3836.29,-46.74,TRADE
VIC1,2023/06/01 02:15:00,3882.93,-46.74,TRADE
VIC1,2023/06/01 02:20:00,3905.82,-46.74,TRADE
VIC1,2023/06/01 02:25:00,3860.03,-47.49,TRADE
VIC1,2023/06/01 02:30:00,3783.3,-47.49,TRADE
VIC1,2023/06/01 02:35:00,3719.68,-47.49,TRADE
VIC1,2023/06/01 02:40:00,3750.06,-47.49,TRADE
VIC1,2023/06/01 02:45:00,3715.08,-47.59,TRADE
VIC1,2023/06/01 02:50:00,3691.85,-47.59,TRADE
VIC1,2023/06/01 02:55:00,3686.35,-47.49,TRADE
VIC1,2023/06/01 03:00:00,3661.41,-46.74,TRADE
VIC1,2023/06/01 03:05:00,3731.85,-46.74,TRADE
VIC1,2023/06/01 03:10:00,3733.86,-41.05,TRADE
VIC1,2023/06/01 03:15:00,3730.63,-37.97,TRADE
VIC1,2023/06/01 03:20:00,3710.83,-19.99,TRADE
VIC1,2023/06/01 03:25:00,3705.17,-20.67,TRADE
VIC1,2023/06/01 03:30:00,3639.94,-37.97,TRADE
VIC1,2023/06/01 03:35:00,3635.98,-19.99,TRADE
VIC1,2023/06/01 03:40:00,3726.65,-19.88,TRADE
VIC1,2023/06/01 03:45:00,3733.22,-19.99,TRADE
VIC1,2023/06/01 03:50:00,3679.05,5.64,TRADE
VIC1,2023/06/01 03:55:00,3728.82,-19.99,TRADE
VIC1,2023/06/01 04:00:00,3728.87,28.26,TRADE
VIC1,2023/06/01 04:05:00,3741.19,0.79,TRADE
VIC1,2023/06/01 04:10:00,3741.13,-4.53,TRADE
VIC1,2023/06/01 04:15:00,3768.13,1.04,TRADE
VIC1,2023/06/01 04:20:00,3754.66,-29.50,TRADE
