REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2026/01/01 00:05:00,4188.23,58.51,TRADE
VIC1,2026/01/01 00:10:00,4169.89,25.66,TRADE
VIC1,2026/01/01 00:15:00,4143.35,21.31,TRADE
VIC1,2026/01/01 00:20:00,4158.4,48.38,TRADE
VIC1,2026/01/01 00:25:00,4157.45,47.49,TRADE
VIC1,2026/01/01 00:30:00,4139.46,22.59,TRADE
VIC1,2026/01/01 00:35:00,4116.78,26.76,TRADE
VIC1,2026/01/01 00:40:00,4075.55,22.30,TRADE
VIC1,2026/01/01 00:45:00,4083.2,8.95,TRADE
VIC1,2026/01/01 00:50:00,4067.38,8.95,TRADE
VIC1,2026/01/01 00:55:00,4025.66,19.63,TRADE
VIC1,2026/01/01 01:00:00,4040.65,12.91,TRADE
VIC1,2026/01/01 01:05:00,4026.2,12.71,TRADE
VIC1,2026/01/01 01:10:00,3979.09,8.95,TRADE
VIC1,2026/01/01 01:15:00,3975.77,8.95,TRADE
VIC1,2026/01/01 01:20:00,3982.09,12.71,TRADE
VIC1,2026/01/01 01:25:00,3946.27,8.95,TRADE
VIC1,2026/01/01 01:30:00,3929.14,8.95,TRADE
VIC1,2026/01/01 01:35:00,3879.62,8.95,TRADE
VIC1,2026/01/01 01:40:00,3887.71,12.71,TRADE
VIC1,2026/01/01 01:45:00,3841.87,12.81,TRADE
VIC1,2026/01/01 01:50:00,3856.79,12.71,TRADE
VIC1,2026/01/01 01:55:00,3818.49,8.95,TRADE
VIC1,2026/01/01 02:00:00,3816.23,8.67,TRADE
VIC1,2026/01/01 02:05:00,3831.82,8.95,TRADE
VIC1,2026/01/01 02:10:00,3791.72,12.71,TRADE
VIC1,2026/01/01 02:15:00,3781.3,8.95,TRADE
VIC1,2026/01/01 02:20:00,3768.07,12.71,TRADE
VIC1,2026/01/01 02:25:00,3766.6,8.95,TRADE
VIC1,2026/01/01 02:30:00,3736.91,8.95,TRADE
VIC1,2026/01/01 02:35:00,3718.93,8.69,TRADE
VIC1,2026/01/01 02:40:00,3708.54,8.95,TRADE
