REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2023/02/01 00:05:00,4452.73,107.79,TRADE
VIC1,2023/02/01 00:10:00,4511.42,116.38,TRADE
VIC1,2023/02/01 00:15:00,4478.87,114.61,TRADE
VIC1,2023/02/01 00:20:00,4435.49,115.16,TRADE
VIC1,2023/02/01 00:25:00,4384.75,107.88,TRADE
VIC1,2023/02/01 00:30:00,4373.04,91.48,TRADE
VIC1,2023/02/01 00:35:00,4383.09,107.09,TRADE
VIC1,2023/02/01 00:40:00,4370.7,115.08,TRADE
VIC1,2023/02/01 00:45:00,4290.25,105.74,TRADE
VIC1,2023/02/01 00:50:00,4318.34,112.77,TRADE
VIC1,2023/02/01 00:55:00,4337.16,109.80,TRADE
VIC1,2023/02/01 01:00:00,4341.85,109.78,TRADE
VIC1,2023/02/01 01:05:00,4245.24,104.23,TRADE
VIC1,2023/02/01 01:10:00,4252.52,106.64,TRADE
VIC1,2023/02/01 01:15:00,4251.32,106.59,TRADE
VIC1,2023/02/01 01:20:00,4249.84,106.55,TRADE
VIC1,2023/02/01 01:25:00,4232.8,96.66,TRADE
VIC1,2023/02/01 01:30:00,4213.82,92.71,TRADE
VIC1,2023/02/01 01:35:00,4211.14,95.72,TRADE
VIC1,2023/02/01 01:40:00,4170.8,92.59,TRADE
VIC1,2023/02/01 01:45:00,4151.63,93.80,TRADE
VIC1,2023/02/01 01:50:00,4075.35,86.90,TRADE
VIC1,2023/02/01 01:55:00,4084.83,93.49,TRADE
VIC1,2023/02/01 02:00:00,4115.37,82.74,TRADE
VIC1,2023/02/01 02:05:00,4123.9,79.73,TRADE
VIC1,2023/02/01 02:10:00,4084.52,79.02,TRADE
VIC1,2023/02/01 02:15:00,4084.04,79.73,TRADE
VIC1,2023/02/01 02:20:00,4059.87,79.73,TRADE
VIC1,2023/02/01 02:25:00,4061.48,79.73,TRADE
VIC1,2023/02/01 02:30:00,3989.08,78.87,TRADE
VIC1,2023/02/01 02:35:00,4005.71,79.73,TRADE
VIC1,2023/02/01 02:40:00,4038.03,79.73,TRADE
VIC1,2023/02/01 02:45:00,4043.61,79.86,TRADE
VIC1,2023/02/01 02:50:00,3953.47,78.74,TRADE
VIC1,2023/02/01 02:55:00,4033.8,79.73,TRADE
VIC1,2023/02/01 03:00:00,4043.19,79.73,TRADE
VIC1,2023/02/01 03:05:00,4062.8,79.73,TRADE
VIC1,2023/02/01 03:10:00,4047.07,79.73,TRADE
VIC1,2023/02/01 03:15:00,3985.85,79.72,TRADE
VIC1,2023/02/01 03:20:00,3997.18,79.73,TRADE
VIC1,2023/02/01 03:25:00,4028.2,79.72,TRADE
VIC1,2023/02/01 03:30:00,4067.02,79.73,TRADE
VIC1,2023/02/01 03:35:00,4073.93,79.73,TRADE
