REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2023/05/01 00:05:00,4782.4,294.49,TRADE
VIC1,2023/05/01 00:10:00,4657.93,205.17,TRADE
VIC1,2023/05/01 00:15:00,4663.66,176.09,TRADE
VIC1,2023/05/01 00:20:00,4635.43,177.91,TRADE
VIC1,2023/05/01 00:25:00,4583.28,176.16,TRADE
VIC1,2023/05/01 00:30:00,4560.99,174.74,TRADE
VIC1,2023/05/01 00:35:00,4572.58,157.45,TRADE
VIC1,2023/05/01 00:40:00,4530.32,157.48,TRADE
VIC1,2023/05/01 00:45:00,4466.36,149.47,TRADE
VIC1,2023/05/01 00:50:00,4514.89,154.29,TRADE
VIC1,2023/05/01 00:55:00,4479.57,154.93,TRADE
VIC1,2023/05/01 01:00:00,4465.43,154.75,TRADE
VIC1,2023/05/01 01:05:00,4471.55,146.05,TRADE
VIC1,2023/05/01 01:10:00,4377.15,181,TRADE
VIC1,2023/05/01 01:15:00,4371.72,151.22,TRADE
VIC1,2023/05/01 01:20:00,4382.31,147.45,TRADE
VIC1,2023/05/01 01:25:00,4357.86,181,TRADE
VIC1,2023/05/01 01:30:00,4341.46,147.06,TRADE
VIC1,2023/05/01 01:35:00,4330.17,59.39,TRADE
VIC1,2023/05/01 01:40:00,4273.31,59.82,TRADE
VIC1,2023/05/01 01:45:00,4178.49,60.12,TRADE
VIC1,2023/05/01 01:50:00,4139.95,60.15,TRADE
VIC1,2023/05/01 01:55:00,4127.63,72.38,TRADE
VIC1,2023/05/01 02:00:00,4182.28,78.32,TRADE
VIC1,2023/05/01 02:05:00,4145.2,102.61,TRADE
VIC1,2023/05/01 02:10:00,4091.34,103.56,TRADE
VIC1,2023/05/01 02:15:00,4177.04,181,TRADE
VIC1,2023/05/01 02:20:00,4175.31,181,TRADE
VIC1,2023/05/01 02:25:00,4170.71,255.81,TRADE
VIC1,2023/05/01 02:30:00,4071.71,96.79,TRADE
VIC1,2023/05/01 02:35:00,4078.56,149.49,TRADE
VIC1,2023/05/01 02:40:00,4137.88,148.05,TRADE
VIC1,2023/05/01 02:45:00,4102.38,148.04,TRADE
