REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2023/03/01 00:05:00,4404.19,81.82,TRADE
VIC1,2023/03/01 00:10:00,4413.55,82.72,TRADE
VIC1,2023/03/01 00:15:00,4378.35,81.12,TRADE
VIC1,2023/03/01 00:20:00,4398.34,79.84,TRADE
VIC1,2023/03/01 00:25:00,4377.51,79.71,TRADE
VIC1,2023/03/01 00:30:00,4357.52,80.69,TRADE
VIC1,2023/03/01 00:35:00,4365.47,79.72,TRADE
VIC1,2023/03/01 00:40:00,4337.24,80.01,TRADE
VIC1,2023/03/01 00:45:00,4302.49,79.97,TRADE
VIC1,2023/03/01 00:50:00,4305.06,77.20,TRADE
VIC1,2023/03/01 00:55:00,4228.63,70,TRADE
VIC1,2023/03/01 01:00:00,4234.29,63.78,TRADE
VIC1,2023/03/01 01:05:00,4310.11,77.21,TRADE
VIC1,2023/03/01 01:10:00,4246.37,70,TRADE
VIC1,2023/03/01 01:15:00,4154.61,50.17,TRADE
VIC1,2023/03/01 01:20:00,4204.58,69.97,TRADE
VIC1,2023/03/01 01:25:00,4158.5,65.88,TRADE
VIC1,2023/03/01 01:30:00,4151.04,51.29,TRADE
VIC1,2023/03/01 01:35:00,4101.21,60.44,TRADE
VIC1,2023/03/01 01:40:00,4003.3,45.44,TRADE
VIC1,2023/03/01 01:45:00,4071.17,62.70,TRADE
VIC1,2023/03/01 01:50:00,4074.64,55.40,TRADE
VIC1,2023/03/01 01:55:00,3959.42,52.02,TRADE
VIC1,2023/03/01 02:00:00,4053.4,62.39,TRADE
VIC1,2023/03/01 02:05:00,4054.01,64.98,TRADE
VIC1,2023/03/01 02:10:00,4046.85,64.72,TRADE
VIC1,2023/03/01 02:15:00,4006.77,60.38,TRADE
VIC1,2023/03/01 02:20:00,3965.91,55.67,TRADE
VIC1,2023/03/01 02:25:00,4009.78,60.96,TRADE
VIC1,2023/03/01 02:30:00,3996.64,57.05,TRADE
VIC1,2023/03/01 02:35:00,3979.02,56.45,TRADE
VIC1,2023/03/01 02:40:00,3997.03,52.10,TRADE
VIC1,2023/03/01 02:45:00,4007.98,53.04,TRADE
VIC1,2023/03/01 02:50:00,4007.42,51.89,TRADE
VIC1,2023/03/01 02:55:00,3983.01,50.97,TRADE
VIC1,2023/03/01 03:00:00,3950.49,49.06,TRADE
VIC1,2023/03/01 03:05:00,3984.54,52.53,TRADE
VIC1,2023/03/01 03:10:00,4018.4,53.39,TRADE
VIC1,2023/03/01 03:15:00,3959.27,49.13,TRADE
VIC1,2023/03/01 03:20:00,3967.97,49.78,TRADE
VIC1,2023/03/01 03:25:00,4019.21,56.03,TRADE
VIC1,2023/03/01 03:30:00,4012.3,57.73,TRADE
VIC1,2023/03/01 03:35:00,4020.22,63.74,TRADE
VIC1,2023/03/01 03:40:00,4011.32,64.10,TRADE
VIC1,2023/03/01 03:45:00,3955.26,63.30,TRADE
VIC1,2023/03/01 03:50:00,4029.15,70,TRADE
VIC1,2023/03/01 03:55:00,4014.92,70,TRADE
VIC1,2023/03/01 04:00:00,4004.1,70,TRADE
VIC1,2023/03/01 04:05:00,4070.23,79.74,TRADE
VIC1,2023/03/01 04:10:00,4101.41,79.74,TRADE
VIC1,2023/03/01 04:15:00,4131.78,80.18,TRADE
VIC1,2023/03/01 04:20:00,4167.48,84.24,TRADE
VIC1,2023/03/01 04:25:00,4144.04,80.95,TRADE
VIC1,2023/03/01 04:30:00,4178.59,84.43,TRADE
VIC1,2023/03/01 04:35:00,4194.11,81.85,TRADE
VIC1,2023/03/01 04:40:00,4217.75,86.21,TRADE
VIC1,2023/03/01 04:45:00,4256.69,84.76,TRADE
VIC1,2023/03/01 04:50:00,4280.7,99.66,TRADE
VIC1,2023/03/01 04:55:00,4285.15,100.24,TRADE
VIC1,2023/03/01 05:00:00,4333.45,102.74,TRADE
VIC1,2023/03/01 05:05:00,4437.86,102.79,TRADE
VIC1,2023/03/01 05:10:00,4529.31,119.60,TRADE
VIC1,2023/03/01 05:15:00,4559.51,129.06,TRADE
VIC1,2023/03/01 05:20:00,4625,132.06,TRADE
VIC1,2023/03/01 05:25:00,4667.59,144.08,TRADE
VIC1,2023/03/01 05:30:00,4703.89,137.28,TRADE
VIC1,2023/03/01 05:35:00,4727.07,117.02,TRADE
VIC1,2023/03/01 05:40:00,4770.89,117.02,TRADE
VIC1,2023/03/01 05:45:00,4803.88,119.39,TRADE
VIC1,2023/03/01 05:50:00,4822.61,132.71,TRADE
VIC1,2023/03/01 05:55:00,4898.3,131.68,TRADE
VIC1,2023/03/01 06:00:00,4948.1,140.23,TRADE
VIC1,2023/03/01 06:05:00,5024.7,111.67,TRADE
VIC1,2023/03/01 06:10:00,5081.45,108.85,TRADE
VIC1,2023/03/01 06:15:00,5190.51,135.01,TRADE
VIC1,2023/03/01 06:20:00,5271.36,147.02,TRADE
VIC1,2023/03/01 06:25:00,5305.76,147.02,TRADE
VIC1,2023/03/01 06:30:00,5329,117.02,TRADE
VIC1,2023/03/01 06:35:00,5331.84,117.02,TRADE
VIC1,2023/03/01 06:40:00,5400.31,117.02,TRADE
VIC1,2023/03/01 06:45:00,5344.1,91.68,TRADE
VIC1,2023/03/01 06:50:00,5354.75,87.97,TRADE
VIC1,2023/03/01 06:55:00,5382.45,95.20,TRADE
VIC1,2023/03/01 07:00:00,5310.86,79.74,TRADE
VIC1,2023/03/01 07:05:00,5197.37,79.74,TRADE
VIC1,2023/03/01 07:10:00,5201.48,80,TRADE
VIC1,2023/03/01 07:15:00,5197.45,79.74,TRADE
VIC1,2023/03/01 07:20:00,5204.23,79.74,TRADE
VIC1,2023/03/01 07:25:00,5162.48,79.74,TRADE
VIC1,2023/03/01 07:30:00,5191.52,74.45,TRADE
VIC1,2023/03/01 07:35:00,5108.62,79.74,TRADE
VIC1,2023/03/01 07:40:00,5071.34,79.74,TRADE
VIC1,2023/03/01 07:45:00,5035.85,79.71,TRADE
VIC1,2023/03/01 07:50:00,4987.47,72.73,TRADE
VIC1,2023/03/01 07:55:00,4985.53,71.99,TRADE
VIC1,2023/03/01 08:00:00,4982.56,73.81,TRADE
VIC1,2023/03/01 08:05:00,4946.26,25.90,TRADE
VIC1,2023/03/01 08:10:00,4996.32,25.66,TRADE
VIC1,2023/03/01 08:15:00,5006.03,5.20,TRADE
VIC1,2023/03/01 08:20:00,4955.56,4.07,TRADE
VIC1,2023/03/01 08:25:00,4893.62,5.19,TRADE
VIC1,2023/03/01 08:30:00,4850.81,3.71,TRADE
VIC1,2023/03/01 08:35:00,4811.74,21.02,TRADE
VIC1,2023/03/01 08:40:00,4757.03,2.98,TRADE
VIC1,2023/03/01 08:45:00,4724.45,3.81,TRADE
VIC1,2023/03/01 08:50:00,4697.67,8.94,TRADE
VIC1,2023/03/01 08:55:00,4707.94,6.15,TRADE
VIC1,2023/03/01 09:00:00,4669.42,-38,TRADE
VIC1,2023/03/01 09:05:00,4604.6,-3.71,TRADE
VIC1,2023/03/01 09:10:00,4529.6,4.70,TRADE
VIC1,2023/03/01 09:15:00,4468.09,-50.01,TRADE
VIC1,2023/03/01 09:20:00,4500.52,-44,TRADE
VIC1,2023/03/01 09:25:00,4419.16,-38,TRADE
VIC1,2023/03/01 09:30:00,4318.56,-44,TRADE
VIC1,2023/03/01 09:35:00,4352.14,-39.34,TRADE
VIC1,2023/03/01 09:40:00,4273.56,-44,TRADE
VIC1,2023/03/01 09:45:00,4274.06,-38,TRADE
VIC1,2023/03/01 09:50:00,4194.68,-42.93,TRADE
