REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2023/10/01 00:05:00,3872.92,-9.49,TRADE
VIC1,2023/10/01 00:10:00,3895.44,-15.71,TRADE
VIC1,2023/10/01 00:15:00,3870.74,-14.64,TRADE
VIC1,2023/10/01 00:20:00,3799.95,-43.97,TRADE
VIC1,2023/10/01 00:25:00,3809.02,-33.92,TRADE
VIC1,2023/10/01 00:30:00,3802.52,-11.06,TRADE
VIC1,2023/10/01 00:35:00,3774.14,-0.98,TRADE
VIC1,2023/10/01 00:40:00,3711.06,-20.21,TRADE
VIC1,2023/10/01 00:45:00,3676.88,-1.98,TRADE
VIC1,2023/10/01 00:50:00,3761.91,0,TRADE
VIC1,2023/10/01 00:55:00,3697.92,0,TRADE
VIC1,2023/10/01 01:00:00,3702.88,-0.97,TRADE
VIC1,2023/10/01 01:05:00,3675.22,-19.41,TRADE
VIC1,2023/10/01 01:10:00,3691.52,-19.68,TRADE
VIC1,2023/10/01 01:15:00,3672.17,-34.94,TRADE
VIC1,2023/10/01 01:20:00,3601.38,-34.08,TRADE
VIC1,2023/10/01 01:25:00,3527.05,-42.86,TRADE
VIC1,2023/10/01 01:30:00,3571.59,-10.93,TRADE
VIC1,2023/10/01 01:35:00,3574.37,-2.04,TRADE
VIC1,2023/10/01 01:40:00,3555.01,-33.74,TRADE
VIC1,2023/10/01 01:45:00,3509.22,-43.07,TRADE
VIC1,2023/10/01 01:50:00,3530.72,-33.71,TRADE
VIC1,2023/10/01 01:55:00,3514.95,-1.99,TRADE
VIC1,2023/10/01 02:00:00,3412.42,-32.90,TRADE
VIC1,2023/10/01 02:05:00,3379.43,-46.98,TRADE
VIC1,2023/10/01 02:10:00,3431.63,-44.25,TRADE
VIC1,2023/10/01 02:15:00,3409.69,-41.19,TRADE
VIC1,2023/10/01 02:20:00,3419.14,-42.65,TRADE
VIC1,2023/10/01 02:25:00,3392.09,-46.56,TRADE
VIC1,2023/10/01 02:30:00,3390.58,-46.84,TRADE
VIC1,2023/10/01 02:35:00,3340.49,-45.25,TRADE
VIC1,2023/10/01 02:40:00,3256.92,-49.87,TRADE
VIC1,2023/10/01 02:45:00,3228.31,-49.87,TRADE
VIC1,2023/10/01 02:50:00,3288.57,-46.33,TRADE
VIC1,2023/10/01 02:55:00,3307.83,-45.70,TRADE
VIC1,2023/10/01 03:00:00,3277.96,-44.93,TRADE
VIC1,2023/10/01 03:05:00,3290.55,-44.47,TRADE
VIC1,2023/10/01 03:10:00,3298.8,-43.73,TRADE
VIC1,2023/10/01 03:15:00,3287.89,-44.25,TRADE
VIC1,2023/10/01 03:20:00,3236.08,-39.89,TRADE
VIC1,2023/10/01 03:25:00,3209.91,-45.29,TRADE
VIC1,2023/10/01 03:30:00,3283.19,-44.93,TRADE
VIC1,2023/10/01 03:35:00,3254.68,-43.92,TRADE
VIC1,2023/10/01 03:40:00,3242.81,-49.87,TRADE
VIC1,2023/10/01 03:45:00,3245.52,-49.87,TRADE
VIC1,2023/10/01 03:50:00,3153.13,-50.51,TRADE
VIC1,2023/10/01 03:55:00,3248.22,-49.87,TRADE
VIC1,2023/10/01 04:00:00,3236.85,-50.51,TRADE
VIC1,2023/10/01 04:05:00,3196.03,-46.66,TRADE
VIC1,2023/10/01 04:10:00,3166.04,-46.66,TRADE
VIC1,2023/10/01 04:15:00,3179.5,-46.66,TRADE
VIC1,2023/10/01 04:20:00,3226.09,-46.07,TRADE
VIC1,2023/10/01 04:25:00,3203.45,-46.07,TRADE
VIC1,2023/10/01 04:30:00,3253.03,-46.07,TRADE
VIC1,2023/10/01 04:35:00,3267.08,-43.29,TRADE
VIC1,2023/10/01 04:40:00,3289,-43.93,TRADE
VIC1,2023/10/01 04:45:00,3382.77,-40.88,TRADE
VIC1,2023/10/01 04:50:00,3297.52,-43.93,TRADE
VIC1,2023/10/01 04:55:00,3310.43,-40.08,TRADE
VIC1,2023/10/01 05:00:00,3351.56,-40.77,TRADE
VIC1,2023/10/01 05:05:00,3348,-39.89,TRADE
VIC1,2023/10/01 05:10:00,3405.69,-40.08,TRADE
VIC1,2023/10/01 05:15:00,3318.46,-39.69,TRADE
VIC1,2023/10/01 05:20:00,3338.4,-40.08,TRADE
VIC1,2023/10/01 05:25:00,3315.57,-39.88,TRADE
VIC1,2023/10/01 05:30:00,3413.99,-41.38,TRADE
VIC1,2023/10/01 05:35:00,3415.45,-41.59,TRADE
VIC1,2023/10/01 05:40:00,3463.63,-42.21,TRADE
VIC1,2023/10/01 05:45:00,3486.58,-32.73,TRADE
VIC1,2023/10/01 05:50:00,3501.09,-33.20,TRADE
VIC1,2023/10/01 05:55:00,3518.86,-33.37,TRADE
VIC1,2023/10/01 06:00:00,3444.85,-42.42,TRADE
VIC1,2023/10/01 06:05:00,3481.61,-42.42,TRADE
VIC1,2023/10/01 06:10:00,3532.95,-33.35,TRADE
VIC1,2023/10/01 06:15:00,3533.3,-33.21,TRADE
VIC1,2023/10/01 06:20:00,3554.62,-33.52,TRADE
VIC1,2023/10/01 06:25:00,3526.34,-32.89,TRADE
VIC1,2023/10/01 06:30:00,3517.03,-42,TRADE
VIC1,2023/10/01 06:35:00,3521.67,-42.21,TRADE
VIC1,2023/10/01 06:40:00,3495.29,-42,TRADE
VIC1,2023/10/01 06:45:00,3413.28,-40.88,TRADE
VIC1,2023/10/01 06:50:00,3401.97,-44.14,TRADE
VIC1,2023/10/01 06:55:00,3413,-44.15,TRADE
VIC1,2023/10/01 07:00:00,3437.53,-44.93,TRADE
VIC1,2023/10/01 07:05:00,3425.11,-45.21,TRADE
VIC1,2023/10/01 07:10:00,3383.39,-46.66,TRADE
VIC1,2023/10/01 07:15:00,3312.74,-54.04,TRADE
VIC1,2023/10/01 07:20:00,3318.02,-56.85,TRADE
VIC1,2023/10/01 07:25:00,3382.51,-51.06,TRADE
VIC1,2023/10/01 07:30:00,3273.74,-54.04,TRADE
VIC1,2023/10/01 07:35:00,3188.46,-56.85,TRADE
VIC1,2023/10/01 07:40:00,3161.44,-56.79,TRADE
VIC1,2023/10/01 07:45:00,3154.03,-56.79,TRADE
VIC1,2023/10/01 07:50:00,3078.6,-56.85,TRADE
VIC1,2023/10/01 07:55:00,3069.77,-58.25,TRADE
VIC1,2023/10/01 08:00:00,3053.02,-57.54,TRADE
VIC1,2023/10/01 08:05:00,3051.53,-58.25,TRADE
VIC1,2023/10/01 08:10:00,3019.77,-58.25,TRADE
VIC1,2023/10/01 08:15:00,3085.47,-58.25,TRADE
VIC1,2023/10/01 08:20:00,3058.61,-58.25,TRADE
VIC1,2023/10/01 08:25:00,3075.09,-56.85,TRADE
VIC1,2023/10/01 08:30:00,3194.64,-56.85,TRADE
VIC1,2023/10/01 08:35:00,3156,-56.85,TRADE
VIC1,2023/10/01 08:40:00,3029.37,-102.05,TRADE
VIC1,2023/10/01 08:45:00,2954.2,-57.54,TRADE
VIC1,2023/10/01 08:50:00,3055.64,-57.22,TRADE
VIC1,2023/10/01 08:55:00,3072.54,-58.25,TRADE
VIC1,2023/10/01 09:00:00,3045.64,-58.25,TRADE
VIC1,2023/10/01 09:05:00,2933.05,-56.85,TRADE
VIC1,2023/10/01 09:10:00,2877.34,-57.27,TRADE
VIC1,2023/10/01 09:15:00,2923.67,-56.85,TRADE
VIC1,2023/10/01 09:20:00,2909.03,-56.85,TRADE
VIC1,2023/10/01 09:25:00,2901.73,-58.25,TRADE
VIC1,2023/10/01 09:30:00,2871.65,-58.25,TRADE
VIC1,2023/10/01 09:35:00,2882.84,-58.15,TRADE
VIC1,2023/10/01 09:40:00,2747.9,-58.25,TRADE
VIC1,2023/10/01 09:45:00,2790.92,-58.25,TRADE
VIC1,2023/10/01 09:50:00,2629.07,-58.25,TRADE
VIC1,2023/10/01 09:55:00,2549.33,-58.25,TRADE
VIC1,2023/10/01 10:00:00,2481.4,-58.25,TRADE
VIC1,2023/10/01 10:05:00,2422,-58.25,TRADE
VIC1,2023/10/01 10:10:00,2268.32,-58.25,TRADE
VIC1,2023/10/01 10:15:00,2275.9,-58.25,TRADE
VIC1,2023/10/01 10:20:00,2197.93,-58.25,TRADE
VIC1,2023/10/01 10:25:00,2205.98,-58.25,TRADE
VIC1,2023/10/01 10:30:00,2199.02,-58.25,TRADE
VIC1,2023/10/01 10:35:00,2109.03,-58.25,TRADE
VIC1,2023/10/01 10:40:00,2101.59,-58.25,TRADE
VIC1,2023/10/01 10:45:00,2162.77,-58.25,TRADE
VIC1,2023/10/01 10:50:00,2141.64,-58.25,TRADE
VIC1,2023/10/01 10:55:00,2040.67,-58.25,TRADE
VIC1,2023/10/01 11:00:00,2105.66,-58.25,TRADE
VIC1,2023/10/01 11:05:00,2050.25,-58.25,TRADE
VIC1,2023/10/01 11:10:00,2166.44,-58.25,TRADE
