REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2024/05/01 00:05:00,4742.67,127.71,TRADE
VIC1,2024/05/01 00:10:00,4716.85,126.81,TRADE
VIC1,2024/05/01 00:15:00,4743.22,124.08,TRADE
VIC1,2024/05/01 00:20:00,4691.34,109.51,TRADE
VIC1,2024/05/01 00:25:00,4638.98,108.13,TRADE
VIC1,2024/05/01 00:30:00,4658.31,107.53,TRADE
VIC1,2024/05/01 00:35:00,4622.74,109,TRADE
VIC1,2024/05/01 00:40:00,4581.1,106.96,TRADE
VIC1,2024/05/01 00:45:00,4466.17,100.95,TRADE
VIC1,2024/05/01 00:50:00,4425.63,99.70,TRADE
VIC1,2024/05/01 00:55:00,4493.11,105.22,TRADE
VIC1,2024/05/01 01:00:00,4464.41,101.52,TRADE
VIC1,2024/05/01 01:05:00,4444.54,105.34,TRADE
VIC1,2024/05/01 01:10:00,4408.91,114.54,TRADE
VIC1,2024/05/01 01:15:00,4374.89,110.72,TRADE
VIC1,2024/05/01 01:20:00,4335.11,104.18,TRADE
VIC1,2024/05/01 01:25:00,4230.92,59.49,TRADE
VIC1,2024/05/01 01:30:00,4211.24,103.65,TRADE
VIC1,2024/05/01 01:35:00,4282.93,136.78,TRADE
VIC1,2024/05/01 01:40:00,4262.61,60.17,TRADE
VIC1,2024/05/01 01:45:00,4205.63,84.05,TRADE
VIC1,2024/05/01 01:50:00,4201.68,76.25,TRADE
VIC1,2024/05/01 01:55:00,4218.32,84.21,TRADE
VIC1,2024/05/01 02:00:00,4196.4,93.64,TRADE
VIC1,2024/05/01 02:05:00,4140.83,84.35,TRADE
VIC1,2024/05/01 02:10:00,4145.15,76.02,TRADE
VIC1,2024/05/01 02:15:00,4201.73,108.09,TRADE
VIC1,2024/05/01 02:20:00,4161.36,60.75,TRADE
VIC1,2024/05/01 02:25:00,4120.64,75.33,TRADE
VIC1,2024/05/01 02:30:00,4109.76,88.48,TRADE
VIC1,2024/05/01 02:35:00,4099.02,83.64,TRADE
VIC1,2024/05/01 02:40:00,4090.77,59.68,TRADE
VIC1,2024/05/01 02:45:00,3980.38,65.09,TRADE
VIC1,2024/05/01 02:50:00,4054.15,117.30,TRADE
VIC1,2024/05/01 02:55:00,4043.75,60.85,TRADE
VIC1,2024/05/01 03:00:00,3976.43,94.34,TRADE
VIC1,2024/05/01 03:05:00,4027.34,117.30,TRADE
VIC1,2024/05/01 03:10:00,4022.41,75.28,TRADE
VIC1,2024/05/01 03:15:00,4012.55,74.59,TRADE
VIC1,2024/05/01 03:20:00,3930.94,87.93,TRADE
VIC1,2024/05/01 03:25:00,3940.13,108.31,TRADE
VIC1,2024/05/01 03:30:00,3973.09,85.01,TRADE
VIC1,2024/05/01 03:35:00,3988.37,65.75,TRADE
VIC1,2024/05/01 03:40:00,4030.54,94,TRADE
VIC1,2024/05/01 03:45:00,3975.74,109.48,TRADE
VIC1,2024/05/01 03:50:00,4036.58,84.87,TRADE
VIC1,2024/05/01 03:55:00,3972.4,74.01,TRADE
VIC1,2024/05/01 04:00:00,3941.49,89.79,TRADE
VIC1,2024/05/01 04:05:00,3953.81,109.99,TRADE
VIC1,2024/05/01 04:10:00,3990.07,93.56,TRADE
VIC1,2024/05/01 04:15:00,3978.08,85.23,TRADE
