REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2023/01/01 00:05:00,4676.57,129.51,TRADE
VIC1,2023/01/01 00:10:00,4722.43,124.72,TRADE
VIC1,2023/01/01 00:15:00,4672.63,111.64,TRADE
VIC1,2023/01/01 00:20:00,4616.49,110.75,TRADE
VIC1,2023/01/01 00:25:00,4604.27,110.91,TRADE
VIC1,2023/01/01 00:30:00,4572.4,99.30,TRADE
VIC1,2023/01/01 00:35:00,4517.38,108.88,TRADE
VIC1,2023/01/01 00:40:00,4514.37,106.93,TRADE
VIC1,2023/01/01 00:45:00,4480.85,99.08,TRADE
VIC1,2023/01/01 00:50:00,4470.45,99.49,TRADE
VIC1,2023/01/01 00:55:00,4437.1,97.55,TRADE
VIC1,2023/01/01 01:00:00,4415.79,95.56,TRADE
VIC1,2023/01/01 01:05:00,4353.91,97.85,TRADE
VIC1,2023/01/01 01:10:00,4373.27,97.94,TRADE
VIC1,2023/01/01 01:15:00,4317.13,92.22,TRADE
VIC1,2023/01/01 01:20:00,4308.72,94.51,TRADE
VIC1,2023/01/01 01:25:00,4265.14,91.45,TRADE
VIC1,2023/01/01 01:30:00,4264.28,90.98,TRADE
VIC1,2023/01/01 01:35:00,4189.67,106.95,TRADE
VIC1,2023/01/01 01:40:00,4182.48,95.63,TRADE
VIC1,2023/01/01 01:45:00,4138.86,95.89,TRADE
VIC1,2023/01/01 01:50:00,4124.48,96.40,TRADE
VIC1,2023/01/01 01:55:00,4085.38,93.56,TRADE
VIC1,2023/01/01 02:00:00,4050.6,91.49,TRADE
VIC1,2023/01/01 02:05:00,4034.55,88.54,TRADE
VIC1,2023/01/01 02:10:00,4021.08,90.41,TRADE
VIC1,2023/01/01 02:15:00,4013.27,86.60,TRADE
VIC1,2023/01/01 02:20:00,3994.68,87.66,TRADE
VIC1,2023/01/01 02:25:00,3966.49,85.25,TRADE
VIC1,2023/01/01 02:30:00,3949.44,78.40,TRADE
VIC1,2023/01/01 02:35:00,3953.41,77.64,TRADE
VIC1,2023/01/01 02:40:00,3923.87,76.17,TRADE
VIC1,2023/01/01 02:45:00,3913.73,77.30,TRADE
VIC1,2023/01/01 02:50:00,3901.23,85.17,TRADE
VIC1,2023/01/01 02:55:00,3891.49,79.15,TRADE
VIC1,2023/01/01 03:00:00,3859.67,78.14,TRADE
VIC1,2023/01/01 03:05:00,3873.8,85.25,TRADE
VIC1,2023/01/01 03:10:00,3899.74,79.82,TRADE
VIC1,2023/01/01 03:15:00,3838.23,79.05,TRADE
VIC1,2023/01/01 03:20:00,3845.84,77.50,TRADE
VIC1,2023/01/01 03:25:00,3812.79,75.84,TRADE
VIC1,2023/01/01 03:30:00,3826.16,76.17,TRADE
VIC1,2023/01/01 03:35:00,3820.01,75.63,TRADE
VIC1,2023/01/01 03:40:00,3820.15,76.67,TRADE
VIC1,2023/01/01 03:45:00,3824.57,65.19,TRADE
VIC1,2023/01/01 03:50:00,3815.23,74.89,TRADE
VIC1,2023/01/01 03:55:00,3802.99,73.55,TRADE
VIC1,2023/01/01 04:00:00,3796.62,76.21,TRADE
VIC1,2023/01/01 04:05:00,3802.96,68.61,TRADE
VIC1,2023/01/01 04:10:00,3799.29,69.84,TRADE
VIC1,2023/01/01 04:15:00,3821.5,71.95,TRADE
VIC1,2023/01/01 04:20:00,3825.23,73.26,TRADE
VIC1,2023/01/01 04:25:00,3804.18,67.83,TRADE
VIC1,2023/01/01 04:30:00,3796.69,67.82,TRADE
VIC1,2023/01/01 04:35:00,3812.48,68.49,TRADE
VIC1,2023/01/01 04:40:00,3820.14,68.48,TRADE
VIC1,2023/01/01 04:45:00,3790.95,68.46,TRADE
VIC1,2023/01/01 04:50:00,3772.76,69.23,TRADE
VIC1,2023/01/01 04:55:00,3775.78,68.49,TRADE
VIC1,2023/01/01 05:00:00,3778.93,69.16,TRADE
VIC1,2023/01/01 05:05:00,3785.68,69.15,TRADE
VIC1,2023/01/01 05:10:00,3805.27,71.24,TRADE
VIC1,2023/01/01 05:15:00,3784.01,71.22,TRADE
VIC1,2023/01/01 05:20:00,3778.2,69.77,TRADE
VIC1,2023/01/01 05:25:00,3766.1,69.08,TRADE
VIC1,2023/01/01 05:30:00,3757.84,69.12,TRADE
VIC1,2023/01/01 05:35:00,3752.99,69.10,TRADE
VIC1,2023/01/01 05:40:00,3746.29,69.05,TRADE
VIC1,2023/01/01 05:45:00,3736.45,65,TRADE
VIC1,2023/01/01 05:50:00,3722.25,29.65,TRADE
VIC1,2023/01/01 05:55:00,3715.82,29.86,TRADE
VIC1,2023/01/01 06:00:00,3710.1,25.39,TRADE
VIC1,2023/01/01 06:05:00,3698.04,29.13,TRADE
VIC1,2023/01/01 06:10:00,3675.88,28.13,TRADE
VIC1,2023/01/01 06:15:00,3696.41,21.21,TRADE
VIC1,2023/01/01 06:20:00,3685.03,19.13,TRADE
VIC1,2023/01/01 06:25:00,3685.55,16.56,TRADE
VIC1,2023/01/01 06:30:00,3648.19,0,TRADE
VIC1,2023/01/01 06:35:00,3674.85,-29.43,TRADE
VIC1,2023/01/01 06:40:00,3670.85,-28.72,TRADE
VIC1,2023/01/01 06:45:00,3645.74,-38,TRADE
VIC1,2023/01/01 06:50:00,3619.83,-43.51,TRADE
VIC1,2023/01/01 06:55:00,3637.59,-38,TRADE
VIC1,2023/01/01 07:00:00,3610.02,-43.51,TRADE
VIC1,2023/01/01 07:05:00,3454.29,-52.83,TRADE
VIC1,2023/01/01 07:10:00,3532.74,-38,TRADE
VIC1,2023/01/01 07:15:00,3534.73,-38,TRADE
VIC1,2023/01/01 07:20:00,3555.42,-45,TRADE
VIC1,2023/01/01 07:25:00,3534.02,-42.90,TRADE
VIC1,2023/01/01 07:30:00,3506.42,-55,TRADE
VIC1,2023/01/01 07:35:00,3474.37,-50.92,TRADE
VIC1,2023/01/01 07:40:00,3439.52,-46.15,TRADE
VIC1,2023/01/01 07:45:00,3424.89,-38,TRADE
VIC1,2023/01/01 07:50:00,3415.99,-38,TRADE
VIC1,2023/01/01 07:55:00,3396.55,-38,TRADE
VIC1,2023/01/01 08:00:00,3411.97,-43.51,TRADE
VIC1,2023/01/01 08:05:00,3381.01,-46.70,TRADE
VIC1,2023/01/01 08:10:00,3370.27,-55.07,TRADE
VIC1,2023/01/01 08:15:00,3321.68,-55.28,TRADE
VIC1,2023/01/01 08:20:00,3364.46,-38,TRADE
