REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2023/04/01 00:05:00,4193.63,121.33,TRADE
VIC1,2023/04/01 00:10:00,4200.09,135.98,TRADE
VIC1,2023/04/01 00:15:00,4123.02,121.39,TRADE
VIC1,2023/04/01 00:20:00,4121.39,125.86,TRADE
VIC1,2023/04/01 00:25:00,4100.24,120.37,TRADE
VIC1,2023/04/01 00:30:00,4076.19,120.32,TRADE
VIC1,2023/04/01 00:35:00,3988.13,130.04,TRADE
VIC1,2023/04/01 00:40:00,4066.65,145.14,TRADE
VIC1,2023/04/01 00:45:00,4051.51,142.91,TRADE
VIC1,2023/04/01 00:50:00,4045.48,135.83,TRADE
VIC1,2023/04/01 00:55:00,3940.35,122.61,TRADE
VIC1,2023/04/01 01:00:00,3994.51,119.81,TRADE
VIC1,2023/04/01 01:05:00,3912.63,114.23,TRADE
VIC1,2023/04/01 01:10:00,4002.11,118.55,TRADE
VIC1,2023/04/01 01:15:00,3951.61,121.16,TRADE
VIC1,2023/04/01 01:20:00,3879.9,117.45,TRADE
VIC1,2023/04/01 01:25:00,3854,117.87,TRADE
VIC1,2023/04/01 01:30:00,3803.99,113.87,TRADE
VIC1,2023/04/01 01:35:00,3790.87,147.65,TRADE
VIC1,2023/04/01 01:40:00,3838.07,148.03,TRADE
VIC1,2023/04/01 01:45:00,3819.85,130.04,TRADE
VIC1,2023/04/01 01:50:00,3804.16,144.11,TRADE
VIC1,2023/04/01 01:55:00,3736.41,143.13,TRADE
VIC1,2023/04/01 02:00:00,3717.54,148.56,TRADE
VIC1,2023/04/01 02:05:00,3737.87,167.61,TRADE
VIC1,2023/04/01 02:10:00,3757.76,191.04,TRADE
VIC1,2023/04/01 02:15:00,3693.9,166.41,TRADE
VIC1,2023/04/01 02:20:00,3646.09,157.41,TRADE
VIC1,2023/04/01 02:25:00,3640.8,162.02,TRADE
VIC1,2023/04/01 02:30:00,3644.96,162.02,TRADE
VIC1,2023/04/01 02:35:00,3652.4,136.66,TRADE
VIC1,2023/04/01 02:40:00,3655.82,139.92,TRADE
VIC1,2023/04/01 02:45:00,3573.65,108.16,TRADE
VIC1,2023/04/01 02:50:00,3610.99,130.04,TRADE
VIC1,2023/04/01 02:55:00,3673.34,162.02,TRADE
VIC1,2023/04/01 03:00:00,3569.16,132.72,TRADE
VIC1,2023/04/01 03:05:00,3647.58,162.02,TRADE
VIC1,2023/04/01 03:10:00,3637.08,141.08,TRADE
VIC1,2023/04/01 03:15:00,3679.36,162.02,TRADE
VIC1,2023/04/01 03:20:00,3662.51,162.02,TRADE
VIC1,2023/04/01 03:25:00,3655.43,140.99,TRADE
VIC1,2023/04/01 03:30:00,3610.95,127.56,TRADE
VIC1,2023/04/01 03:35:00,3647.09,119.97,TRADE
VIC1,2023/04/01 03:40:00,3655.95,127,TRADE
VIC1,2023/04/01 03:45:00,3686.1,125.34,TRADE
VIC1,2023/04/01 03:50:00,3642.86,121.15,TRADE
VIC1,2023/04/01 03:55:00,3695.95,120.98,TRADE
VIC1,2023/04/01 04:00:00,3700.56,139.97,TRADE
VIC1,2023/04/01 04:05:00,3721.84,141,TRADE
VIC1,2023/04/01 04:10:00,3749.15,138.10,TRADE
VIC1,2023/04/01 04:15:00,3678.45,119.35,TRADE
VIC1,2023/04/01 04:20:00,3705.84,106.66,TRADE
VIC1,2023/04/01 04:25:00,3766.18,124.09,TRADE
VIC1,2023/04/01 04:30:00,3735.55,134.27,TRADE
VIC1,2023/04/01 04:35:00,3739.99,122.16,TRADE
VIC1,2023/04/01 04:40:00,3790.57,141,TRADE
VIC1,2023/04/01 04:45:00,3777.16,123.88,TRADE
VIC1,2023/04/01 04:50:00,3788.11,126.60,TRADE
VIC1,2023/04/01 04:55:00,3821.71,141,TRADE
VIC1,2023/04/01 05:00:00,3738.31,142.94,TRADE
VIC1,2023/04/01 05:05:00,3804.18,141.39,TRADE
VIC1,2023/04/01 05:10:00,3860.08,144.13,TRADE
VIC1,2023/04/01 05:15:00,3885.39,141,TRADE
VIC1,2023/04/01 05:20:00,3968.31,144.43,TRADE
VIC1,2023/04/01 05:25:00,3917.65,142.89,TRADE
VIC1,2023/04/01 05:30:00,3998.03,148.01,TRADE
VIC1,2023/04/01 05:35:00,4032.96,145.28,TRADE
VIC1,2023/04/01 05:40:00,4085.02,144.88,TRADE
VIC1,2023/04/01 05:45:00,4033.09,144.03,TRADE
VIC1,2023/04/01 05:50:00,4094.08,142.48,TRADE
VIC1,2023/04/01 05:55:00,4112.16,141.03,TRADE
VIC1,2023/04/01 06:00:00,4107.34,146.04,TRADE
VIC1,2023/04/01 06:05:00,4253.25,169.93,TRADE
VIC1,2023/04/01 06:10:00,4226.17,169.60,TRADE
VIC1,2023/04/01 06:15:00,4331.86,181,TRADE
VIC1,2023/04/01 06:20:00,4360.39,181,TRADE
VIC1,2023/04/01 06:25:00,4348.98,181,TRADE
VIC1,2023/04/01 06:30:00,4449.85,181,TRADE
VIC1,2023/04/01 06:35:00,4458.72,181,TRADE
VIC1,2023/04/01 06:40:00,4489.31,181,TRADE
VIC1,2023/04/01 06:45:00,4480.98,181,TRADE
VIC1,2023/04/01 06:50:00,4442.69,147.19,TRADE
VIC1,2023/04/01 06:55:00,4500.13,145.64,TRADE
VIC1,2023/04/01 07:00:00,4548.57,145.68,TRADE
VIC1,2023/04/01 07:05:00,4534.69,151.99,TRADE
VIC1,2023/04/01 07:10:00,4576.51,144.06,TRADE
VIC1,2023/04/01 07:15:00,4598.51,122.30,TRADE
VIC1,2023/04/01 07:20:00,4644.03,128.86,TRADE
VIC1,2023/04/01 07:25:00,4551.93,101,TRADE
VIC1,2023/04/01 07:30:00,4629.19,118.43,TRADE
VIC1,2023/04/01 07:35:00,4629.98,121.66,TRADE
VIC1,2023/04/01 07:40:00,4642.38,120.28,TRADE
VIC1,2023/04/01 07:45:00,4586.99,101,TRADE
VIC1,2023/04/01 07:50:00,4551.16,85,TRADE
VIC1,2023/04/01 07:55:00,4538.36,101,TRADE
VIC1,2023/04/01 08:00:00,4481.4,82.37,TRADE
VIC1,2023/04/01 08:05:00,4426.39,57.11,TRADE
VIC1,2023/04/01 08:10:00,4508.85,74.48,TRADE
VIC1,2023/04/01 08:15:00,4466.57,76.44,TRADE
VIC1,2023/04/01 08:20:00,4385.03,91.63,TRADE
VIC1,2023/04/01 08:25:00,4417.12,101,TRADE
VIC1,2023/04/01 08:30:00,4421.79,69.89,TRADE
VIC1,2023/04/01 08:35:00,4357.01,61.72,TRADE
VIC1,2023/04/01 08:40:00,4238.58,56.74,TRADE
VIC1,2023/04/01 08:45:00,4158.79,33.61,TRADE
VIC1,2023/04/01 08:50:00,4205.75,58.60,TRADE
VIC1,2023/04/01 08:55:00,4132.32,25.21,TRADE
VIC1,2023/04/01 09:00:00,4020.91,31.25,TRADE
VIC1,2023/04/01 09:05:00,4041.12,12.56,TRADE
VIC1,2023/04/01 09:10:00,4010.42,-10.68,TRADE
VIC1,2023/04/01 09:15:00,3934.29,-38.89,TRADE
VIC1,2023/04/01 09:20:00,3879.47,-44,TRADE
VIC1,2023/04/01 09:25:00,3792.11,-44.41,TRADE
VIC1,2023/04/01 09:30:00,3802.28,-44,TRADE
VIC1,2023/04/01 09:35:00,3792.52,-37.97,TRADE
VIC1,2023/04/01 09:40:00,3733.69,10.33,TRADE
VIC1,2023/04/01 09:45:00,3779.08,-20,TRADE
VIC1,2023/04/01 09:50:00,3795.46,-20,TRADE
VIC1,2023/04/01 09:55:00,3766.51,-44,TRADE
VIC1,2023/04/01 10:00:00,3781.53,-44,TRADE
VIC1,2023/04/01 10:05:00,3667.7,-37.97,TRADE
VIC1,2023/04/01 10:10:00,3729.17,-44,TRADE
VIC1,2023/04/01 10:15:00,3722.53,-43.70,TRADE
VIC1,2023/04/01 10:20:00,3723.92,-20.38,TRADE
VIC1,2023/04/01 10:25:00,3747.33,-20,TRADE
VIC1,2023/04/01 10:30:00,3723.52,-12.14,TRADE
