REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2025/01/01 00:05:00,4339,130,TRADE
VIC1,2025/01/01 00:10:00,4310.79,125.50,TRADE
VIC1,2025/01/01 00:15:00,4243.74,129.02,TRADE
VIC1,2025/01/01 00:20:00,4269.83,116.97,TRADE
VIC1,2025/01/01 00:25:00,4242.11,116.50,TRADE
VIC1,2025/01/01 00:30:00,4217.03,119.44,TRADE
VIC1,2025/01/01 00:35:00,4194.26,110.18,TRADE
VIC1,2025/01/01 00:40:00,4196.62,118.58,TRADE
VIC1,2025/01/01 00:45:00,4160.17,119.08,TRADE
VIC1,2025/01/01 00:50:00,4158.5,117.29,TRADE
VIC1,2025/01/01 00:55:00,4155.03,130,TRADE
VIC1,2025/01/01 01:00:00,4127.38,119.10,TRADE
VIC1,2025/01/01 01:05:00,4102.84,118.63,TRADE
VIC1,2025/01/01 01:10:00,4124.8,119.20,TRADE
VIC1,2025/01/01 01:15:00,4088.19,109.61,TRADE
VIC1,2025/01/01 01:20:00,4068.73,119.39,TRADE
VIC1,2025/01/01 01:25:00,4049.82,115.48,TRADE
VIC1,2025/01/01 01:30:00,4000.47,110.84,TRADE
VIC1,2025/01/01 01:35:00,4002.96,110.70,TRADE
VIC1,2025/01/01 01:40:00,3999.07,106.30,TRADE
VIC1,2025/01/01 01:45:00,3997.75,106.18,TRADE
VIC1,2025/01/01 01:50:00,3950.42,104.15,TRADE
VIC1,2025/01/01 01:55:00,3961.03,104.81,TRADE
VIC1,2025/01/01 02:00:00,3922.86,104.48,TRADE
VIC1,2025/01/01 02:05:00,3917.03,104.44,TRADE
VIC1,2025/01/01 02:10:00,3883.1,105.37,TRADE
VIC1,2025/01/01 02:15:00,3838.28,102.77,TRADE
VIC1,2025/01/01 02:20:00,3869.16,103.52,TRADE
VIC1,2025/01/01 02:25:00,3830.64,101.82,TRADE
VIC1,2025/01/01 02:30:00,3806.88,100.99,TRADE
VIC1,2025/01/01 02:35:00,3769.81,100.13,TRADE
VIC1,2025/01/01 02:40:00,3787.87,100.08,TRADE
VIC1,2025/01/01 02:45:00,3765.55,99,TRADE
VIC1,2025/01/01 02:50:00,3775.7,99,TRADE
VIC1,2025/01/01 02:55:00,3739.82,99,TRADE
VIC1,2025/01/01 03:00:00,3752.65,99,TRADE
VIC1,2025/01/01 03:05:00,3725.24,99,TRADE
VIC1,2025/01/01 03:10:00,3720.96,99,TRADE
VIC1,2025/01/01 03:15:00,3738.48,99.82,TRADE
VIC1,2025/01/01 03:20:00,3733.99,98.35,TRADE
VIC1,2025/01/01 03:25:00,3787.79,99,TRADE
VIC1,2025/01/01 03:30:00,3730.21,99,TRADE
VIC1,2025/01/01 03:35:00,3722.16,99,TRADE
VIC1,2025/01/01 03:40:00,3745.7,101.06,TRADE
VIC1,2025/01/01 03:45:00,3708.85,99.04,TRADE
VIC1,2025/01/01 03:50:00,3734.06,99,TRADE
VIC1,2025/01/01 03:55:00,3731.38,99,TRADE
VIC1,2025/01/01 04:00:00,3733.96,99,TRADE
VIC1,2025/01/01 04:05:00,3750.01,101.38,TRADE
