REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2025/05/01 00:05:00,4917,77.30,TRADE
VIC1,2025/05/01 00:10:00,4877.45,74.22,TRADE
VIC1,2025/05/01 00:15:00,4862.77,71.79,TRADE
VIC1,2025/05/01 00:20:00,4842.5,72.09,TRADE
VIC1,2025/05/01 00:25:00,4800.86,71.88,TRADE
VIC1,2025/05/01 00:30:00,4767.44,71.51,TRADE
VIC1,2025/05/01 00:35:00,4750.7,74.09,TRADE
VIC1,2025/05/01 00:40:00,4722.39,73.22,TRADE
VIC1,2025/05/01 00:45:00,4692.75,70.76,TRADE
VIC1,2025/05/01 00:50:00,4678.46,71.07,TRADE
VIC1,2025/05/01 00:55:00,4645.88,71.17,TRADE
VIC1,2025/05/01 01:00:00,4623.96,71.11,TRADE
VIC1,2025/05/01 01:05:00,4600.23,72.28,TRADE
VIC1,2025/05/01 01:10:00,4591.55,71.60,TRADE
VIC1,2025/05/01 01:15:00,4571.84,71.96,TRADE
VIC1,2025/05/01 01:20:00,4557.51,68.98,TRADE
VIC1,2025/05/01 01:25:00,4522.87,68.79,TRADE
VIC1,2025/05/01 01:30:00,4488.49,69.45,TRADE
VIC1,2025/05/01 01:35:00,4473.24,66.20,TRADE
VIC1,2025/05/01 01:40:00,4443,78.08,TRADE
VIC1,2025/05/01 01:45:00,4400.42,68.25,TRADE
VIC1,2025/05/01 01:50:00,4366.14,73.83,TRADE
VIC1,2025/05/01 01:55:00,4351.21,74.44,TRADE
VIC1,2025/05/01 02:00:00,4332.55,74.36,TRADE
VIC1,2025/05/01 02:05:00,4307.77,74.91,TRADE
VIC1,2025/05/01 02:10:00,4302.8,74.91,TRADE
VIC1,2025/05/01 02:15:00,4284.45,73.43,TRADE
VIC1,2025/05/01 02:20:00,4300.16,75.92,TRADE
VIC1,2025/05/01 02:25:00,4286.96,75.96,TRADE
VIC1,2025/05/01 02:30:00,4262.43,75.30,TRADE
VIC1,2025/05/01 02:35:00,4238.55,74.64,TRADE
VIC1,2025/05/01 02:40:00,4207.88,74.60,TRADE
VIC1,2025/05/01 02:45:00,4222.77,74.49,TRADE
VIC1,2025/05/01 02:50:00,4208.65,74.50,TRADE
VIC1,2025/05/01 02:55:00,4207.3,74.38,TRADE
VIC1,2025/05/01 03:00:00,4208.45,74.95,TRADE
VIC1,2025/05/01 03:05:00,4178.47,75.02,TRADE
VIC1,2025/05/01 03:10:00,4196.04,77.06,TRADE
VIC1,2025/05/01 03:15:00,4197.26,74.98,TRADE
VIC1,2025/05/01 03:20:00,4186.44,74.95,TRADE
VIC1,2025/05/01 03:25:00,4213.36,74.90,TRADE
VIC1,2025/05/01 03:30:00,4174.94,72.79,TRADE
VIC1,2025/05/01 03:35:00,4200.2,74.30,TRADE
VIC1,2025/05/01 03:40:00,4185.77,73.74,TRADE
VIC1,2025/05/01 03:45:00,4207.02,73.27,TRADE
VIC1,2025/05/01 03:50:00,4196.62,74.29,TRADE
VIC1,2025/05/01 03:55:00,4204.13,74.84,TRADE
VIC1,2025/05/01 04:00:00,4193.79,74.28,TRADE
VIC1,2025/05/01 04:05:00,4204.41,72.51,TRADE
VIC1,2025/05/01 04:10:00,4227.32,73.17,TRADE
VIC1,2025/05/01 04:15:00,4245.13,73.66,TRADE
VIC1,2025/05/01 04:20:00,4217.1,73.65,TRADE
VIC1,2025/05/01 04:25:00,4232.77,74.29,TRADE
VIC1,2025/05/01 04:30:00,4222.86,74.35,TRADE
VIC1,2025/05/01 04:35:00,4222.75,74.27,TRADE
VIC1,2025/05/01 04:40:00,4246.93,74.90,TRADE
VIC1,2025/05/01 04:45:00,4258.54,74.80,TRADE
VIC1,2025/05/01 04:50:00,4297.12,77.30,TRADE
VIC1,2025/05/01 04:55:00,4343.07,78.63,TRADE
VIC1,2025/05/01 05:00:00,4334.06,77.96,TRADE
VIC1,2025/05/01 05:05:00,4379.25,77.30,TRADE
VIC1,2025/05/01 05:10:00,4425.4,79.78,TRADE
VIC1,2025/05/01 05:15:00,4452.05,80.21,TRADE
