REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2023/12/01 00:05:00,4275.09,19.12,TRADE
VIC1,2023/12/01 00:10:00,4211.21,19.12,TRADE
VIC1,2023/12/01 00:15:00,4109.92,9,TRADE
VIC1,2023/12/01 00:20:00,4179.13,19.12,TRADE
VIC1,2023/12/01 00:25:00,4150.25,19.12,TRADE
VIC1,2023/12/01 00:30:00,4132.13,19.12,TRADE
VIC1,2023/12/01 00:35:00,4021.48,9,TRADE
VIC1,2023/12/01 00:40:00,3966.92,9,TRADE
VIC1,2023/12/01 00:45:00,4017.23,19.12,TRADE
VIC1,2023/12/01 00:50:00,3991.89,19.12,TRADE
VIC1,2023/12/01 00:55:00,3901.78,9,TRADE
VIC1,2023/12/01 01:00:00,3950.68,9,TRADE
VIC1,2023/12/01 01:05:00,3958.36,9,TRADE
VIC1,2023/12/01 01:10:00,3940.19,9,TRADE
VIC1,2023/12/01 01:15:00,3909.17,9,TRADE
VIC1,2023/12/01 01:20:00,3898.82,9,TRADE
VIC1,2023/12/01 01:25:00,3874.91,9,TRADE
VIC1,2023/12/01 01:30:00,3820.22,9,TRADE
VIC1,2023/12/01 01:35:00,3837.11,18.88,TRADE
VIC1,2023/12/01 01:40:00,3743.82,9,TRADE
VIC1,2023/12/01 01:45:00,3754.52,9,TRADE
VIC1,2023/12/01 01:50:00,3758,9,TRADE
VIC1,2023/12/01 01:55:00,3702.93,9,TRADE
VIC1,2023/12/01 02:00:00,3690.15,9,TRADE
VIC1,2023/12/01 02:05:00,3694.73,9,TRADE
VIC1,2023/12/01 02:10:00,3735.98,19.12,TRADE
VIC1,2023/12/01 02:15:00,3631.13,8.95,TRADE
VIC1,2023/12/01 02:20:00,3696.43,19.12,TRADE
VIC1,2023/12/01 02:25:00,3673.29,10.98,TRADE
VIC1,2023/12/01 02:30:00,3590.02,9,TRADE
VIC1,2023/12/01 02:35:00,3628.6,9,TRADE
VIC1,2023/12/01 02:40:00,3583.1,9,TRADE
VIC1,2023/12/01 02:45:00,3638.58,9,TRADE
VIC1,2023/12/01 02:50:00,3648.55,9,TRADE
VIC1,2023/12/01 02:55:00,3671.45,19.12,TRADE
VIC1,2023/12/01 03:00:00,3656.23,19.12,TRADE
VIC1,2023/12/01 03:05:00,3682.71,19.12,TRADE
VIC1,2023/12/01 03:10:00,3712.01,19.12,TRADE
VIC1,2023/12/01 03:15:00,3606.7,19.12,TRADE
VIC1,2023/12/01 03:20:00,3617.57,19.12,TRADE
VIC1,2023/12/01 03:25:00,3650.89,19.12,TRADE
VIC1,2023/12/01 03:30:00,3699.02,19.12,TRADE
VIC1,2023/12/01 03:35:00,3619.51,18.82,TRADE
VIC1,2023/12/01 03:40:00,3680.82,19.19,TRADE
VIC1,2023/12/01 03:45:00,3730.64,19.19,TRADE
VIC1,2023/12/01 03:50:00,3732.71,19.19,TRADE
VIC1,2023/12/01 03:55:00,3728.81,19.12,TRADE
VIC1,2023/12/01 04:00:00,3659.69,19.19,TRADE
VIC1,2023/12/01 04:05:00,3703,34.94,TRADE
VIC1,2023/12/01 04:10:00,3846.6,49.80,TRADE
VIC1,2023/12/01 04:15:00,3854.21,52.52,TRADE
VIC1,2023/12/01 04:20:00,3804.45,34.94,TRADE
VIC1,2023/12/01 04:25:00,3877.78,34.94,TRADE
VIC1,2023/12/01 04:30:00,3925.98,49.80,TRADE
VIC1,2023/12/01 04:35:00,3979.5,49.78,TRADE
VIC1,2023/12/01 04:40:00,3980.11,46.40,TRADE
VIC1,2023/12/01 04:45:00,3941.28,46.02,TRADE
VIC1,2023/12/01 04:50:00,3980.59,34.94,TRADE
VIC1,2023/12/01 04:55:00,4093.59,49.80,TRADE
VIC1,2023/12/01 05:00:00,4152.86,49.80,TRADE
VIC1,2023/12/01 05:05:00,4141.28,44.55,TRADE
VIC1,2023/12/01 05:10:00,4247.83,47.08,TRADE
VIC1,2023/12/01 05:15:00,4311.22,49.80,TRADE
VIC1,2023/12/01 05:20:00,4382.95,49.80,TRADE
VIC1,2023/12/01 05:25:00,4327.72,45.99,TRADE
VIC1,2023/12/01 05:30:00,4370.72,44.32,TRADE
VIC1,2023/12/01 05:35:00,4403.53,40.55,TRADE
VIC1,2023/12/01 05:40:00,4465.62,34.95,TRADE
VIC1,2023/12/01 05:45:00,4570.78,40.66,TRADE
VIC1,2023/12/01 05:50:00,4597.18,41.22,TRADE
VIC1,2023/12/01 05:55:00,4617.92,15.49,TRADE
VIC1,2023/12/01 06:00:00,4604.92,11.28,TRADE
VIC1,2023/12/01 06:05:00,4721.18,25.33,TRADE
VIC1,2023/12/01 06:10:00,4747.99,44.27,TRADE
VIC1,2023/12/01 06:15:00,4722.56,30.55,TRADE
VIC1,2023/12/01 06:20:00,4834.83,9.10,TRADE
VIC1,2023/12/01 06:25:00,4818.07,16.84,TRADE
VIC1,2023/12/01 06:30:00,4818.75,19.12,TRADE
VIC1,2023/12/01 06:35:00,4893.76,19.12,TRADE
VIC1,2023/12/01 06:40:00,4926.54,9,TRADE
VIC1,2023/12/01 06:45:00,4879.01,9,TRADE
VIC1,2023/12/01 06:50:00,4932.87,9,TRADE
VIC1,2023/12/01 06:55:00,4906.95,9,TRADE
VIC1,2023/12/01 07:00:00,4918,9,TRADE
VIC1,2023/12/01 07:05:00,4866.28,7.58,TRADE
VIC1,2023/12/01 07:10:00,4727.93,8.27,TRADE
VIC1,2023/12/01 07:15:00,4756.23,8.95,TRADE
VIC1,2023/12/01 07:20:00,4719.25,8.95,TRADE
VIC1,2023/12/01 07:25:00,4654.51,-3.65,TRADE
VIC1,2023/12/01 07:30:00,4615.92,-19.99,TRADE
VIC1,2023/12/01 07:35:00,4609.04,-19.99,TRADE
VIC1,2023/12/01 07:40:00,4553.87,-19.99,TRADE
VIC1,2023/12/01 07:45:00,4552.96,8.95,TRADE
VIC1,2023/12/01 07:50:00,4485.25,8.95,TRADE
VIC1,2023/12/01 07:55:00,4485.83,6.73,TRADE
VIC1,2023/12/01 08:00:00,4488.89,8.95,TRADE
VIC1,2023/12/01 08:05:00,4515.52,9,TRADE
VIC1,2023/12/01 08:10:00,4560.02,9,TRADE
VIC1,2023/12/01 08:15:00,4583.77,8.27,TRADE
VIC1,2023/12/01 08:20:00,4539.47,0,TRADE
VIC1,2023/12/01 08:25:00,4454.12,8.95,TRADE
VIC1,2023/12/01 08:30:00,4505.78,9,TRADE
VIC1,2023/12/01 08:35:00,4498.12,8.95,TRADE
VIC1,2023/12/01 08:40:00,4489.98,9,TRADE
VIC1,2023/12/01 08:45:00,4466.11,9,TRADE
VIC1,2023/12/01 08:50:00,4366.32,0,TRADE
VIC1,2023/12/01 08:55:00,4324.17,0,TRADE
VIC1,2023/12/01 09:00:00,4304.7,4.97,TRADE
VIC1,2023/12/01 09:05:00,4299.25,8.94,TRADE
VIC1,2023/12/01 09:10:00,4237.81,8.95,TRADE
VIC1,2023/12/01 09:15:00,4252.49,9,TRADE
VIC1,2023/12/01 09:20:00,4282.86,2.65,TRADE
VIC1,2023/12/01 09:25:00,4241.35,7,TRADE
VIC1,2023/12/01 09:30:00,4158.38,3.58,TRADE
VIC1,2023/12/01 09:35:00,4172.26,8.95,TRADE
VIC1,2023/12/01 09:40:00,4135.4,0.40,TRADE
VIC1,2023/12/01 09:45:00,4123.65,0,TRADE
VIC1,2023/12/01 09:50:00,4100.19,0.02,TRADE
VIC1,2023/12/01 09:55:00,4011.49,-2.61,TRADE
VIC1,2023/12/01 10:00:00,4009.53,-19.99,TRADE
VIC1,2023/12/01 10:05:00,4082.58,0.02,TRADE
VIC1,2023/12/01 10:10:00,4087.39,0,TRADE
VIC1,2023/12/01 10:15:00,4062.63,-19.99,TRADE
VIC1,2023/12/01 10:20:00,4073.32,0.02,TRADE
VIC1,2023/12/01 10:25:00,4116.04,3.31,TRADE
VIC1,2023/12/01 10:30:00,4104.98,0,TRADE
VIC1,2023/12/01 10:35:00,4030.2,2.65,TRADE
VIC1,2023/12/01 10:40:00,4023.67,0,TRADE
VIC1,2023/12/01 10:45:00,4093.16,5.45,TRADE
VIC1,2023/12/01 10:50:00,4109.41,5.39,TRADE
VIC1,2023/12/01 10:55:00,4062.75,8.51,TRADE
VIC1,2023/12/01 11:00:00,4030.49,8.39,TRADE
VIC1,2023/12/01 11:05:00,4042.91,0.02,TRADE
VIC1,2023/12/01 11:10:00,4039.94,0.02,TRADE
VIC1,2023/12/01 11:15:00,3969.43,-19.99,TRADE
VIC1,2023/12/01 11:20:00,3933.22,-19.99,TRADE
VIC1,2023/12/01 11:25:00,3878.8,-17.10,TRADE
VIC1,2023/12/01 11:30:00,3839.57,-41.11,TRADE
VIC1,2023/12/01 11:35:00,3925.7,-19.99,TRADE
VIC1,2023/12/01 11:40:00,3794.52,-49.58,TRADE
VIC1,2023/12/01 11:45:00,3868.47,-41.11,TRADE
VIC1,2023/12/01 11:50:00,3825.93,-46.47,TRADE
VIC1,2023/12/01 11:55:00,3899.55,-37.30,TRADE
VIC1,2023/12/01 12:00:00,3780.11,-46.47,TRADE
VIC1,2023/12/01 12:05:00,3763.79,-31.18,TRADE
VIC1,2023/12/01 12:10:00,3725.2,-31.54,TRADE
VIC1,2023/12/01 12:15:00,3756.52,-41.11,TRADE
VIC1,2023/12/01 12:20:00,3716.63,0.02,TRADE
VIC1,2023/12/01 12:25:00,3654.71,-46.47,TRADE
VIC1,2023/12/01 12:30:00,3760.29,-19.99,TRADE
VIC1,2023/12/01 12:35:00,3677.05,-46.47,TRADE
VIC1,2023/12/01 12:40:00,3712.56,-19.99,TRADE
VIC1,2023/12/01 12:45:00,3562.26,-46.47,TRADE
VIC1,2023/12/01 12:50:00,3559.86,-52.67,TRADE
VIC1,2023/12/01 12:55:00,3657.51,-1.56,TRADE
VIC1,2023/12/01 13:00:00,3575.45,-19.99,TRADE
VIC1,2023/12/01 13:05:00,3452.61,-19.99,TRADE
VIC1,2023/12/01 13:10:00,3530.45,-1.56,TRADE
VIC1,2023/12/01 13:15:00,3536.28,-16.19,TRADE
VIC1,2023/12/01 13:20:00,3479.5,-40.60,TRADE
VIC1,2023/12/01 13:25:00,3434.26,-52.67,TRADE
VIC1,2023/12/01 13:30:00,3453.8,-52.67,TRADE
VIC1,2023/12/01 13:35:00,3500.89,-0.74,TRADE
VIC1,2023/12/01 13:40:00,3318.98,-32.30,TRADE
VIC1,2023/12/01 13:45:00,3405.65,-48.82,TRADE
VIC1,2023/12/01 13:50:00,3454.18,-19.99,TRADE
VIC1,2023/12/01 13:55:00,3416.32,-58.25,TRADE
VIC1,2023/12/01 14:00:00,3486.23,-52.68,TRADE
VIC1,2023/12/01 14:05:00,3554.21,-50.01,TRADE
VIC1,2023/12/01 14:10:00,3572.78,-19.99,TRADE
VIC1,2023/12/01 14:15:00,3416.07,-53.66,TRADE
VIC1,2023/12/01 14:20:00,3465.28,-52.68,TRADE
VIC1,2023/12/01 14:25:00,3521.3,1.22,TRADE
VIC1,2023/12/01 14:30:00,3506.9,-19.99,TRADE
VIC1,2023/12/01 14:35:00,3480.47,-56.79,TRADE
VIC1,2023/12/01 14:40:00,3608.29,-58.25,TRADE
